"fieldType";"createdAt";"updatedAt";"f_id";"f_name";"is_label";"label_key";"f_description";"f_grp_cd";"is_system_field";"f_icon_class";"f_min_length";"f_max_length"
"";"";"";"f000011";"grid_action";"N";"label.grid.action";"label.grid.action.desc";"f000011";"Y";"pencil";0;0
"";"";"";"f000012";"grid_print";"N";"label.grid.print";"label.grid.print.desc";"f000011";"Y";"pencil";0;0
"";"";"";"f011011";"btn_export";"N";"label.btn.export";"label.btn.export.desc";"f011011";"Y";"pencil";0;0
"";"";"";"f011012";"btn_grp_entry";"N";"label.btn.grp.entry";"label.btn.grp.entry.desc";"f011012";"Y";"pencil";0;0
"";"";"";"f101";"salutation";"Y";"label.salutation";"label.salutation.desc";"101";"Y";"pencil";0;255
"";"";"";"f102";"salutation";"N";"label.salutation";"label.salutation.desc";"101";"Y";"pencil";0;255
"";"";"";"f103";"lead_status";"Y";"label.lead.status";"label.lead.status.desc";"103";"Y";"pencil";0;255
"";"";"";"f104";"lead_status";"N";"label.lead.status";"label.lead.status.desc";"103";"Y";"pencil";0;255
"";"";"";"f105";"first_name";"Y";"label.first.name";"label.first.name.desc";"105";"Y";"pencil";0;255
"";"";"";"f106";"first_name";"N";"label.first.name";"label.first.name.desc";"105";"Y";"pencil";0;255
"";"";"";"f107";"last_name";"Y";"label.last.name";"label.last.name.desc";"107";"Y";"pencil";0;255
"";"";"";"f108";"last_name";"N";"label.last.name";"label.last.name.desc";"107";"Y";"pencil";0;255
"";"";"";"f109";"lead_assigned_to";"Y";"label.lead.assigned.to";"label.lead.assigned.to.desc";"109";"Y";"pencil";0;255
"";"";"";"f110";"lead_assigned_to";"N";"label.lead.assigned.to";"label.lead.assigned.to.desc";"109";"Y";"pencil";0;255
"";"";"";"f111";"company_name";"Y";"label.company.name";"label.company.name.desc";"111";"Y";"pencil";0;255
"";"";"";"f112";"company_name";"N";"label.company.name";"label.company.name.desc";"111";"Y";"pencil";0;255
"";"";"";"f113";"lead_source";"Y";"label.lead.source";"label.lead.source.desc";"113";"Y";"pencil";0;255
"";"";"";"f114";"lead_source";"N";"label.lead.source";"label.lead.source.desc";"113";"Y";"pencil";0;255
"";"";"";"f115";"designation";"Y";"label.designation";"label.designation.desc";"115";"Y";"pencil";0;255
"";"";"";"f116";"designation";"N";"label.designation";"label.designation.desc";"115";"Y";"pencil";0;255
"";"";"";"f117";"email";"Y";"label.email";"label.email.desc";"117";"Y";"pencil";0;255
"";"";"";"f118";"email";"N";"label.email";"label.email.desc";"117";"Y";"pencil";0;255
"";"";"";"f119";"office_number";"Y";"label.office.number";"label.office.number.desc";"119";"Y";"pencil";0;255
"";"";"";"f120";"office_number";"N";"label.office.number";"label.office.number.desc";"119";"Y";"pencil";0;255
"";"";"";"f121";"mobile_number";"Y";"label.mobile.number";"label.mobile.number.desc";"121";"Y";"pencil";0;255
"";"";"";"f122";"mobile_number";"N";"label.mobile.number";"label.mobile.number.desc";"121";"Y";"pencil";0;255
"";"";"";"f123";"fax_number";"Y";"label.fax.number";"label.fax.number.desc";"123";"Y";"pencil";0;255
"";"";"";"f124";"fax_number";"N";"label.fax.number";"label.fax.number.desc";"123";"Y";"pencil";0;255
"";"";"";"f125";"website";"Y";"label.website";"label.website.desc";"125";"Y";"pencil";0;255
"";"";"";"f126";"website";"N";"label.website";"label.website.desc";"125";"Y";"pencil";0;255
"";"";"";"f127";"company_description";"Y";"label.company.description";"label.company.description.desc";"127";"Y";"pencil";0;255
"";"";"";"f128";"company_description";"N";"label.company.description";"label.company.description.desc";"127";"Y";"pencil";0;255
"";"";"";"f129";"company_no_of_staff";"Y";"label.company.no.of.staff";"label.company.no.of.staff.desc";"129";"Y";"pencil";0;255
"";"";"";"f130";"company_no_of_staff";"N";"label.company.no.of.staff";"label.company.no.of.staff.desc";"129";"Y";"pencil";0;255
"";"";"";"f131";"company_main_business";"Y";"label.company.main.business";"label.company.main.business.desc";"131";"Y";"pencil";0;255
"";"";"";"f132";"company_main_business";"N";"label.company.main.business";"label.company.main.business.desc";"131";"Y";"pencil";0;255
"";"";"";"f133";"company_annual_turnover";"Y";"label.company.annual.turnover";"label.company.annual.turnover.desc";"133";"Y";"pencil";0;255
"";"";"";"f1331";"company_annual_turnover_currency";"N";"label.amount.currency";"label.amount.currency.desc";"133";"Y";"pencil";0;255
"";"";"";"f134";"company_annual_turnover";"N";"label.company.annual.turnover";"label.company.annual.turnover.desc";"133";"Y";"pencil";0;255
"";"";"";"f135";"company_industry";"Y";"label.company.industry";"label.company.industry.desc";"135";"Y";"pencil";0;255
"";"";"";"f136";"company_industry";"N";"label.company.industry";"label.company.industry.desc";"135";"Y";"pencil";0;255
"";"";"";"f137";"address_main";"Y";"label.address.main";"label.address.main.desc";"137";"Y";"pencil";0;255
"";"";"";"f138";"address_main";"N";"label.address.main";"label.address.main.desc";"137";"Y";"pencil";0;255
"";"";"";"f139";"address_postal_code";"Y";"label.address.postal.code";"label.address.postal.code.desc";"139";"Y";"pencil";0;255
"";"";"";"f140";"address_postal_code";"N";"label.address.postal.code";"label.address.postal.code.desc";"139";"Y";"pencil";0;255
"";"";"";"f141";"address_city";"Y";"label.address.city";"label.address.city.desc";"141";"Y";"pencil";0;255
"";"";"";"f142";"address_city";"N";"label.address.city";"label.address.city.desc";"141";"Y";"pencil";0;255
"";"";"";"f143";"address_country";"Y";"label.address.country";"label.address.country.desc";"143";"Y";"pencil";0;255
"";"";"";"f144";"address_country";"N";"label.address.country";"label.address.country.desc";"143";"Y";"pencil";0;255
"";"";"";"f145";"address_state";"Y";"label.address.state";"label.address.state.desc";"145";"Y";"pencil";0;255
"";"";"";"f146";"address_state";"N";"label.address.state";"label.address.state.desc";"145";"Y";"pencil";0;255
"";"";"";"f147";"facebook_url";"Y";"label.facebook.url";"label.facebook.url.desc";"147";"Y";"facebook";0;255
"";"";"";"f148";"facebook_url";"N";"label.facebook.url";"label.facebook.url.desc";"147";"Y";"facebook";0;255
"";"";"";"f149";"twitter_url";"Y";"label.twitter.url";"label.twitter.url.desc";"149";"Y";"twitter";0;255
"";"";"";"f150";"twitter_url";"N";"label.twitter.url";"label.twitter.url.desc";"149";"Y";"twitter";0;255
"";"";"";"f151";"linkedin_url";"Y";"label.linkedin.url";"label.linkedin.url.desc";"151";"Y";"linkedin";0;255
"";"";"";"f152";"linkedin_url";"N";"label.linkedin.url";"label.linkedin.url.desc";"151";"Y";"linkedin";0;255
"";"";"";"f153";"instagram_url";"Y";"label.instagram.url";"label.instagram.url.desc";"153";"Y";"instagram";0;255
"";"";"";"f154";"instagram_url";"N";"label.instagram.url";"label.instagram.url.desc";"153";"Y";"instagram";0;255
"";"";"";"f155";"created_by";"Y";"label.created.by";"label.created.by.desc";"155";"Y";"pencil";0;255
"";"";"";"f156";"created_by";"N";"label.created.by";"label.created.by.desc";"155";"Y";"pencil";0;255
"";"";"";"f157";"created_date";"N";"label.created.date";"label.created.date.desc";"155";"Y";"pencil";0;255
"";"";"";"f158";"last_modified_by";"Y";"label.last.modified.by";"label.last.modified.by.desc";"158";"Y";"pencil";0;255
"";"";"";"f159";"last_modified_by";"N";"label.last.modified.by";"label.last.modified.by.desc";"158";"Y";"pencil";0;255
"";"";"";"f160";"last_modified_date";"N";"label.last.modified.date";"label.last.modified.date.desc";"158";"Y";"pencil";0;255
"";"";"";"f301";"opportunity_name";"Y";"label.opportunity.name";"label.opportunity.name.desc";"f301";"Y";"pencil";0;255
"";"";"";"f302";"opportunity_name";"N";"label.opportunity.name";"label.opportunity.name.desc";"f301";"Y";"pencil";0;255
"";"";"";"f303";"expected_sales_amount";"Y";"label.opportunity.sales.amount";"label.opportunity.sales.amount.desc";"f303";"Y";"pencil";0;255
"";"";"";"f304";"expected_sales_amount";"N";"label.opportunity.sales.amount";"label.opportunity.sales.amount.desc";"f303";"Y";"pencil";0;255
"";"";"";"f305";"oppotunity_description";"Y";"label.opportunity.description";"label.opportunity.opportunity.description.desc";"f305";"Y";"pencil";0;255
"";"";"";"f306";"oppotunity_description";"N";"label.opportunity.description";"label.opportunity.opportunity.description.desc";"f305";"Y";"pencil";0;255
"";"";"";"f307";"currency";"Y";"label.currency";"label.currency.desc";"f307";"Y";"pencil";0;255
"";"";"";"f308";"currency";"N";"label.currency";"label.currency.desc";"f307";"Y";"pencil";0;255
"";"";"";"f309";"close_by_date";"Y";"label.close.by.date";"label.close.by.date.desc";"f309";"Y";"pencil";0;255
"";"";"";"f310";"close_by_date";"N";"label.close.by.date";"label.close.by.date.desc";"f309";"Y";"pencil";0;255
"";"";"";"f311";"opportunity_status";"Y";"label.opportunity.status";"label.opportunity.status.desc";"f311";"Y";"pencil";0;255
"";"";"";"f312";"opportunity_status";"N";"label.opportunity.status";"label.opportunity.status.desc";"f311";"Y";"pencil";0;255
"";"";"";"f313";"percentage_probability";"Y";"label.percentage.probability";"label.percentage.probability.desc";"f313";"Y";"pencil";0;255
"";"";"";"f314";"percentage_probability";"N";"label.percentage.probability";"label.percentage.probability.desc";"f313";"Y";"pencil";0;255
"";"";"";"f315";"opportunity_source";"Y";"label.opportunity.source";"label.opportunity.source.desc";"f315";"Y";"pencil";0;255
"";"";"";"f316";"opportunity_source";"N";"label.opportunity.source";"label.opportunity.source.desc";"f315";"Y";"pencil";0;255
"";"";"";"f317";"activity_set";"Y";"label.activity.set.assign";"label.activity.set.assign.desc";"f317";"Y";"pencil";0;255
"";"";"";"f318";"activity_set";"N";"label.activity.set.assign";"label.activity.set.assign.desc";"f317";"Y";"pencil";0;255
"";"";"";"f401";"account_name";"Y";"label.account.name";"label.account.name.desc";"f401";"Y";"pencil";0;255
"";"";"";"f402";"account_name";"N";"label.account.name";"label.account.name.desc";"f401";"Y";"pencil";0;255
"";"";"";"f403";"account_id";"Y";"label.account.id";"label.account.id.desc";"f403";"Y";"pencil";0;255
"";"";"";"f404";"account_id";"N";"label.account.id";"label.account.id.desc";"f403";"Y";"pencil";0;255
"";"";"";"f405";"company_website";"Y";"label.company.website";"label.company.website.desc";"f405";"Y";"pencil";0;255
"";"";"";"f406";"company_website";"N";"label.company.website";"label.company.website.desc";"f405";"Y";"pencil";0;255
"";"";"";"f407";"super_account";"Y";"label.super.account";"label.super.account.desc";"f407";"Y";"pencil";0;255
"";"";"";"f408";"super_account";"N";"label.super.account";"label.super.account.desc";"f407";"Y";"pencil";0;255
"";"";"";"f409";"assigned_to";"Y";"label.assigned.to";"label.assigned.to.desc";"f409";"Y";"pencil";0;255
"";"";"";"f410";"assigned_to";"N";"label.assigned.to";"label.assigned.to.desc";"f409";"Y";"pencil";0;255
"";"";"";"f411";"short_description";"Y";"label.short.description";"label.short.description.desc";"f411";"Y";"pencil";0;255
"";"";"";"f412";"short_description";"N";"label.short.description";"label.short.description.desc";"f411";"Y";"pencil";0;255
"";"";"";"f413";"rating";"Y";"label.rating";"label.rating.desc";"f413";"Y";"pencil";0;255
"";"";"";"f414";"rating";"N";"label.rating";"label.rating.desc";"f413";"Y";"pencil";0;255
"";"";"";"f415";"department";"Y";"label.department";"label.department.desc";"f415";"Y";"pencil";0;255
"";"";"";"f416";"department";"N";"label.department";"label.department.desc";"f415";"Y";"pencil";0;255
"";"";"";"f417";"decision_authority";"Y";"label.decision.authority";"label.decision.authority.desc";"f417";"Y";"pencil";0;255
"";"";"";"f418";"decision_authority";"N";"label.decision.authority";"label.decision.authority.desc";"f417";"Y";"pencil";0;255
"";"";"";"f419";"street_name";"Y";"label.street.name";"label.street.name.desc";"f419";"Y";"pencil";0;255
"";"";"";"f420";"street_name";"N";"label.street.name";"label.street.name.desc";"f419";"Y";"pencil";0;255
"";"";"";"f421";"account_type";"Y";"label.account.type";"label.account.type.desc";"f421";"Y";"pencil";0;255
"";"";"";"f422";"account_type";"N";"label.account.type";"label.account.type.desc";"f422";"Y";"pencil";0;255
"";"";"";"f501";"subject";"Y";"label.subject";"label.subject.desc";"f501";"Y";"pencil";0;255
"";"";"";"f502";"subject";"N";"label.subject";"label.subject.desc";"f501";"Y";"pencil";0;255
"";"";"";"f503";"start_date";"Y";"label.start.date";"label.start.date.desc";"f503";"Y";"pencil";0;255
"";"";"";"f504";"start_date";"N";"label.start.date";"label.start.date.desc";"f503";"Y";"pencil";0;255
"";"";"";"f505";"task_type";"Y";"label.task.type";"label.task.type.desc";"f505";"Y";"pencil";0;255
"";"";"";"f506";"task_type";"N";"label.task.type";"label.task.type.desc";"f505";"Y";"pencil";0;255
"";"";"";"f507";"due_date";"Y";"label.due.date";"label.due.date.desc";"f507";"Y";"pencil";0;255
"";"";"";"f508";"due_date";"N";"label.due.date";"label.due.date.desc";"f507";"Y";"pencil";0;255
"";"";"";"f509";"task_details";"Y";"label.task.detail";"label.task.detail.desc";"f509";"Y";"pencil";0;255
"";"";"";"f510";"task_details";"N";"label.task.detail";"label.task.detail.desc";"f509";"Y";"pencil";0;255
"";"";"";"f511";"task_timed_job";"Y";"label.task.timed.job";"label.task.timed.job.desc";"f511";"Y";"pencil";0;255
"";"";"";"f512";"task_timed_job";"N";"label.task.timed.job";"label.task.timed.job.desc";"f511";"Y";"pencil";0;255
"";"";"";"f513";"task_duration";"Y";"label.task.duration";"label.task.duration.desc";"f513";"Y";"pencil";0;255
"";"";"";"f514";"task_duration";"N";"label.task.duration";"label.task.duration.desc";"f513";"Y";"pencil";0;255
"";"";"";"f515";"linked_to";"Y";"label.linked.to";"label.linked.to.desc";"f515";"Y";"pencil";0;255
"";"";"";"f516";"linked_to";"N";"label.linked.to";"label.linked.to.desc";"f515";"Y";"pencil";0;255
"";"";"";"f517";"task_start_time";"Y";"label.task.start.time";"label.task.start.time.desc";"f517";"Y";"pencil";0;255
"";"";"";"f518";"task_start_time";"N";"label.task.start.time";"label.task.start.time.desc";"f517";"Y";"pencil";0;255
"";"";"";"f519";"task_end_time";"Y";"label.task.end.time";"label.task.end.time.desc";"f517";"Y";"pencil";0;255
"";"";"";"f520";"task_end_time";"N";"label.task.end.time";"label.task.end.time.desc";"f517";"Y";"pencil";0;255
"";"";"";"f521";"task_reminder_on";"Y";"label.task.reminder";"label.task.reminder.desc";"f521";"Y";"pencil";0;255
"";"";"";"f522";"task_reminder_on";"N";"label.task.reminder";"label.task.reminder.desc";"f521";"Y";"pencil";0;255
"";"";"";"f523";"task_priority";"Y";"label.task.priority";"label.task.priority.desc";"f523";"Y";"pencil";0;255
"";"";"";"f524";"task_priority";"N";"label.task.priority";"label.task.priority.desc";"f523";"Y";"pencil";0;255
"";"";"";"f525";"task_status";"Y";"label.task.status";"label.task.status.desc";"f525";"Y";"pencil";0;255
"";"";"";"f526";"task_status";"N";"label.task.status";"label.task.status.desc";"f525";"Y";"pencil";0;255
"";"";"";"f527";"comment";"Y";"label.comment";"label.comment.desc";"f527";"Y";"pencil";0;255
"";"";"";"f528";"comment";"N";"label.comment";"label.comment.desc";"f527";"Y";"pencil";0;255
"";"";"";"f529";"attach_file";"Y";"label.attach.file";"label.attach.file.desc";"f529";"Y";"pencil";0;255
"";"";"";"f530";"attach_file";"N";"label.attach.file";"label.attach.file.desc";"f529";"Y";"pencil";0;255
"";"";"";"f531";"attach_link_from";"Y";"label.attach.file";"label.attach.file.desc";"f531";"Y";"pencil";0;255
"";"";"";"f532";"attach_link_from_dropbox";"N";"label.attach.link.from.dropbox";"label.attach.link.from.dropbox.desc";"f531";"Y";"pencil";0;255
"";"";"";"f533";"attach_link_from_google";"N";"label.attach.link.from.google";"label.attach.link.from.google.desc";"f531";"Y";"pencil";0;255
"";"";"";"f534";"attach_link_from_icloud";"N";"label.attach.link.from.icloud";"label.attach.link.from.icloud.desc";"f531";"Y";"pencil";0;255
"";"";"";"f535";"task_recurring";"Y";"label.task.recurring";"label.task.recurring.desc";"f535";"Y";"pencil";0;255
"";"";"";"f536";"task_recurring";"N";"label.task.recurring";"label.task.recurring.desc";"f535";"Y";"pencil";0;255
"";"";"";"f537";"task_frequency";"Y";"label.task.frequency";"label.task.frequency.desc";"f537";"Y";"pencil";0;255
"";"";"";"f538";"task_frequency";"N";"label.task.frequency";"label.task.frequency.desc";"f537";"Y";"pencil";0;255
"";"";"";"f539";"task_repeat";"Y";"label.task.repeat";"label.task.repeat.desc";"f539";"Y";"pencil";0;255
"";"";"";"f540";"task_repeat";"N";"label.task.repeat";"label.task.repeat.desc";"f539";"Y";"pencil";0;255
"";"";"";"f541";"task_repeat_on";"Y";"label.task.repeat.on";"label.task.repeat.on.desc";"f541";"Y";"pencil";0;255
"";"";"";"f542";"task_repeat_on";"N";"label.task.repeat.on";"label.task.repeat.on.desc";"f541";"Y";"pencil";0;255
"";"";"";"f543";"task_repeat_start_date";"Y";"label.task.start.date";"label.task.start.date.desc";"f543";"Y";"pencil";0;255
"";"";"";"f544";"task_repeat_start_date";"N";"label.task.start.date";"label.task.start.date.desc";"f543";"Y";"pencil";0;255
"";"";"";"f545";"task_repeat_end_date";"Y";"label.task.end.date";"label.task.end.date.desc";"f545";"Y";"pencil";0;255
"";"";"";"f546";"task_repeat_end_date";"N";"label.task.end.date";"label.task.end.date.desc";"f545";"Y";"pencil";0;255
"";"";"";"f601";"event_subject";"Y";"label.event.subject";"label.event.subject.desc";"f601";"Y";"pencil";0;255
"";"";"";"f602";"event_subject";"N";"label.event.subject";"label.event.subject.desc";"f601";"Y";"pencil";0;255
"";"";"";"f603";"event_start";"Y";"label.event.start";"label.event.start.desc";"f603";"Y";"pencil";0;255
"";"";"";"f604";"event_start";"N";"label.event.start";"label.event.start.desc";"f603";"Y";"pencil";0;255
"";"";"";"f605";"event_end";"Y";"label.event.end";"label.event.end.desc";"f605";"Y";"pencil";0;255
"";"";"";"f606";"event_end";"N";"label.event.end";"label.event.end.desc";"f605";"Y";"pencil";0;255
"";"";"";"f607";"event_type";"Y";"label.event.type";"label.event.type.desc";"f607";"Y";"pencil";0;255
"";"";"";"f608";"event_type";"N";"label.event.type";"label.event.type.desc";"f607";"Y";"pencil";0;255
"";"";"";"f609";"event_location";"Y";"label.event.location";"label.event.location.desc";"f609";"Y";"pencil";0;255
"";"";"";"f610";"event_location";"N";"label.event.location";"label.event.location.desc";"f609";"Y";"pencil";0;255
"";"";"";"f611";"assign_auto_time";"Y";"label.event.auto.time";"label.event.auto.time.desc";"f611";"Y";"pencil";0;255
"";"";"";"f612";"assign_auto_time";"N";"label.event.auto.time";"label.event.auto.time.desc";"f611";"Y";"pencil";0;255
"";"";"";"f613";"event_details";"Y";"label.event.detail";"label.event.detail.desc";"f613";"Y";"pencil";0;255
"";"";"";"f614";"event_details";"N";"label.event.detail";"label.event.detail.desc";"f613";"Y";"pencil";0;255
"";"";"";"f615";"event_all_day";"Y";"label.event.all.day";"label.event.all.day.desc";"f615";"Y";"pencil";0;255
"";"";"";"f616";"event_all_day";"N";"label.event.all.day";"label.event.all.day.desc";"f615";"Y";"pencil";0;255
"";"";"";"f617";"event_name";"Y";"label.event.name";"label.event.name.desc";"f617";"Y";"pencil";0;255
"";"";"";"f618";"event_name";"N";"label.event.name";"label.event.name.desc";"f617";"Y";"pencil";0;255
"";"";"";"f619";"event_status";"Y";"label.event.status";"label.event.status.desc";"f619";"Y";"pencil";0;255
"";"";"";"f620";"event_status";"N";"label.event.status";"label.event.status.desc";"f619";"Y";"pencil";0;255
"";"";"";"f621";"event_reminder";"Y";"label.event.reminder";"label.event.reminder.desc";"f621";"Y";"pencil";0;255
"";"";"";"f622";"event_reminder";"N";"label.event.reminder";"label.event.reminder.desc";"f621";"Y";"pencil";0;255
